id,title,overview,vote_average,genres,release_date,user_ratings
533535,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",7.708,"Action, Comedy, Science Fiction",2024-07-24,"6.0, 9.0, 8.0, 6.0, 10.0, 7.0, 8.0, 10.0, 7.0, 10.0, 4.0, 8.0, 10.0, 9.0, 7.0"
365177,Borderlands,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",5.883,"Action, Science Fiction, Comedy, Adventure, Thriller",2024-08-07,"7.0, 5.0, 6.0, 1.0, 1.0, 3.0"
646097,Rebel Ridge,A former Marine confronts corruption in a small town when local law enforcement unjustly seizes the bag of cash he needs to post his cousin's bail.,7.0,"Crime, Action, Thriller",2024-08-27,"10.0, 4.0, 7.0"
1022789,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",7.666,"Animation, Family, Adventure, Comedy, Fantasy",2024-06-11,"8.0, 6.0, 5.0, 7.0, 8.0"
917496,Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",7.222,"Comedy, Fantasy, Horror",2024-09-04,"6.0, 8.0, 6.0, 10.0, 6.0, 7.0"
519182,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",7.187,"Animation, Family, Comedy, Action",2024-06-20,"8.0, 6.0, 6.0, 3.0, 3.0, 3.0, 2.0"
573435,Bad Boys: Ride or Die,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",7.547,"Action, Crime, Thriller, Comedy",2024-06-05,"7.0, 7.0, 7.0, 1.0, 6.0, 9.0, 9.0"
970347,The Killer,"Zee is a feared contract killer known as ""the Queen of the Dead,"" but when she refuses to murder a young blind woman, she finds herself hunted both by criminal colleagues and a determined police detective.",6.54,"Action, Thriller, Crime",2024-08-22,"4.0, 5.0"
923667,Twilight of the Warriors: Walled In,"Set in the 1980s, troubled youth Chan Lok-kwun accidentally enters the Walled City, discovers the order amidst its chaos, and learns important life lessons along the way. In the Walled City, he becomes close friends with Shin, Twelfth Master and AV. Under the leadership of Cyclone, they resist against the invasion of villain Mr. Big in a series of fierce battles. Together, they vow to protect the safe haven that is Kowloon Walled City.",6.7,"Action, Adventure, Crime, Thriller",2024-04-23,"7.0, 7.0, 6.0"
4011,Beetlejuice,A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,7.382,"Fantasy, Comedy",1988-03-30,"7.0, 7.0, 6.0, 6.0, 8.0, 8.0, 7.0"
